user_id,user_name,total_calories_burned
1,SachinTendulkar,540
2,ViratKohli,540
3,RickyPonting,225
4,SteveSmith,240
5,JoeRoot,660
6,KaneWilliamson,555
7,RohitSharma,465
8,DavidWarner,1020
9,BabarAzam,735
10,QuintonDeKock,600
11,FafDuPlessis,540
12,RossTaylor,540
13,JosButtler,225
14,EoinMorgan,240
15,JonnyBairstow,660
16,ShikharDhawan,555
17,AaronFinch,465
18,MartinGuptill,1020
19,ShimronHetmyer,735
20,JasonRoy,600
21,ChrisGayle,605
22,BrendonMcCullum,600
23,ABDeVilliers,255
24,EllysePerry,270
25,MegLanning,750
26,MithaliRaj,612.5
27,SmritiMandhana,525
28,SuzieBates,1130
29,HeatherKnight,835
30,StafanieTaylor,665
31,SophieDevine,NULL
32,DaneVanNiekerk,NULL
33,AlyssaHealy,NULL
34,DeandraDottin,NULL
35,HarmanpreetKaur,NULL
36,JhulanGoswami,NULL
37,AmySatterthwaite,NULL
38,NatalieSciver,NULL
39,SarahTaylor,NULL
40,ShabnimIsmail,NULL
41,MarizanneKapp,NULL
42,SuneLuus,NULL
43,AnyaShrubsole,NULL
44,ChamariAtapattu,NULL
45,RumanaAhmed,NULL
46,NidaDar,NULL
47,ShashikalaSiriwardene,NULL
48,LauraWolvaardt,NULL
49,AnamAmin,NULL
50,NatalieTibballs,NULL
51,KatherineBrunt,NULL
52,BismahMaroof,NULL
53,TammyBeaumont,NULL
54,KateCross,NULL
55,FranWilson,NULL
56,DilaniManodara,NULL
57,NilakshiDeSilva,NULL
58,PoonamYadav,NULL
59,DeeptiSharma,NULL
60,TaniyaBhatia,NULL
61,RajeshwariGayakwad,NULL
62,PriyaPunia,NULL
63,SophieEcclestone,NULL
64,KirstieGordon,NULL
65,AliceDavidsonRichards,NULL
66,LizelleLee,NULL
67,davidmiller,NULL
68,msdhoni,NULL
69,hardikpandya,NULL
70,benstokes,NULL
71,ravindrajadeja,NULL
72,glennmaxwell,NULL
73,kieronpollard,NULL
74,andrerussell,NULL
75,sunilnarine,NULL
76,rashidkhan,NULL
77,trentboult,NULL
78,jaspritbumrah,NULL
79,mitchellstarc,NULL
80,jofraarcher,NULL
81,kagisorabada,NULL
82,patcummins,NULL
83,chriswoakes,NULL
84,mohammedshami,NULL
85,bhuvneshwarkumar,NULL
86,yuzvendrachahal,NULL
