user_name,connected_user_name
SachinTendulkar,ViratKohli
SachinTendulkar,RickyPonting
SachinTendulkar,SteveSmith
SachinTendulkar,JoeRoot
ViratKohli,RickyPonting
ViratKohli,SteveSmith
ViratKohli,JoeRoot
ViratKohli,KaneWilliamson
RickyPonting,SteveSmith
RickyPonting,JoeRoot
RickyPonting,KaneWilliamson
RickyPonting,RohitSharma
SteveSmith,JoeRoot
SteveSmith,KaneWilliamson
SteveSmith,RohitSharma
SteveSmith,DavidWarner
JoeRoot,KaneWilliamson
JoeRoot,RohitSharma
JoeRoot,DavidWarner
JoeRoot,BabarAzam
KaneWilliamson,RohitSharma
KaneWilliamson,DavidWarner
KaneWilliamson,BabarAzam
KaneWilliamson,QuintonDeKock
RohitSharma,DavidWarner
RohitSharma,BabarAzam
RohitSharma,QuintonDeKock
RohitSharma,FafDuPlessis
DavidWarner,BabarAzam
DavidWarner,QuintonDeKock
DavidWarner,FafDuPlessis
DavidWarner,RossTaylor
BabarAzam,QuintonDeKock
BabarAzam,FafDuPlessis
BabarAzam,RossTaylor
BabarAzam,JosButtler
QuintonDeKock,FafDuPlessis
QuintonDeKock,RossTaylor
QuintonDeKock,JosButtler
QuintonDeKock,EoinMorgan
FafDuPlessis,RossTaylor
FafDuPlessis,JosButtler
FafDuPlessis,EoinMorgan
FafDuPlessis,JonnyBairstow
RossTaylor,JosButtler
RossTaylor,EoinMorgan
RossTaylor,JonnyBairstow
RossTaylor,ShikharDhawan
JosButtler,EoinMorgan
JosButtler,JonnyBairstow
