user_name,suggestion_date,item_name,item_calories,item_protein,item_carbs,item_fat,item_fiber
SachinTendulkar,2022-05-01,"Chicken Breast",165,31,0,3.6,0
SachinTendulkar,2022-05-02,"Brown Rice",216,5,45,1.8,3.5
SachinTendulkar,2022-05-03,"Chicken Breast",165,31,0,3.6,0
ViratKohli,2022-05-15,Quinoa,222,8,39,3.6,5.2
ViratKohli,2022-05-07,"Brown Rice",216,5,45,1.8,3.5
RickyPonting,2022-05-01,Almonds,576,21,22,49,12.2
RickyPonting,2022-05-09,Quinoa,222,8,39,3.6,5.2
SteveSmith,2022-05-15,"Greek Yogurt",59,10,3.9,0.4,0
SteveSmith,2022-05-12,Almonds,576,21,22,49,12.2
JoeRoot,2022-05-01,Spinach,23,2.9,3.6,0.4,2.2
JoeRoot,2022-05-02,"Cottage Cheese",98,11,3.4,4.3,0
JoeRoot,2022-05-16,"Greek Yogurt",59,10,3.9,0.4,0
KaneWilliamson,2022-05-15,"Whole Wheat Bread",69,3.6,12,1.1,1.9
KaneWilliamson,2022-05-20,Spinach,23,2.9,3.6,0.4,2.2
RohitSharma,2022-05-01,Walnuts,654,15,14,65,6.7
RohitSharma,2022-05-24,"Cottage Cheese",98,11,3.4,4.3,0
DavidWarner,2022-05-15,Blueberries,57,0.7,14,0.3,2.4
DavidWarner,2022-05-25,"Whole Wheat Bread",69,3.6,12,1.1,1.9
BabarAzam,2022-05-01,Tofu,76,8,1.9,4.8,0.3
BabarAzam,2022-05-02,Lentils,116,9,20,0.4,7.9
BabarAzam,2022-05-27,Walnuts,654,15,14,65,6.7
QuintonDeKock,2022-05-15,"Bell Peppers",20,1,5,0.2,1.7
QuintonDeKock,2022-05-30,Blueberries,57,0.7,14,0.3,2.4
FafDuPlessis,2022-05-01,Chickpeas,164,8.9,27,2.6,7.6
FafDuPlessis,2022-05-05,Tofu,76,8,1.9,4.8,0.3
RossTaylor,2022-05-15,Mushrooms,22,3.1,3.3,0.3,1
RossTaylor,2022-05-10,Lentils,116,9,20,0.4,7.9
JosButtler,2022-05-01,Zucchini,17,1.2,3.1,0.3,1
JosButtler,2022-05-02,Kale,49,4.3,8.8,0.9,3.6
JosButtler,2022-05-14,"Bell Peppers",20,1,5,0.2,1.7
EoinMorgan,2022-05-15,Cabbage,25,1.3,5.8,0.1,2.5
EoinMorgan,2022-05-18,Chickpeas,164,8.9,27,2.6,7.6
JonnyBairstow,2022-05-22,Mushrooms,22,3.1,3.3,0.3,1
ShikharDhawan,2022-05-04,"Chicken Breast",165,31,0,3.6,0
AaronFinch,2022-05-08,"Brown Rice",216,5,45,1.8,3.5
MartinGuptill,2022-05-11,Quinoa,222,8,39,3.6,5.2
ShimronHetmyer,2022-05-13,Almonds,576,21,22,49,12.2
JasonRoy,2022-05-17,"Greek Yogurt",59,10,3.9,0.4,0
ChrisGayle,2022-05-19,Spinach,23,2.9,3.6,0.4,2.2
BrendonMcCullum,2022-05-23,"Cottage Cheese",98,11,3.4,4.3,0
ABDeVilliers,2022-05-01,"Chicken Breast",165,31,0,3.6,0
ABDeVilliers,2022-05-02,"Brown Rice",216,5,45,1.8,3.5
ABDeVilliers,2022-05-26,"Whole Wheat Bread",69,3.6,12,1.1,1.9
EllysePerry,2022-05-15,Quinoa,222,8,39,3.6,5.2
EllysePerry,2022-05-28,Walnuts,654,15,14,65,6.7
MegLanning,2022-05-01,Almonds,576,21,22,49,12.2
MegLanning,2022-05-29,Blueberries,57,0.7,14,0.3,2.4
MithaliRaj,2022-05-15,"Greek Yogurt",59,10,3.9,0.4,0
MithaliRaj,2022-05-06,Tofu,76,8,1.9,4.8,0.3
SmritiMandhana,2022-05-01,Spinach,23,2.9,3.6,0.4,2.2
SmritiMandhana,2022-05-02,"Cottage Cheese",98,11,3.4,4.3,0
SmritiMandhana,2022-05-09,Lentils,116,9,20,0.4,7.9
SuzieBates,2022-05-15,"Whole Wheat Bread",69,3.6,12,1.1,1.9
SuzieBates,2022-05-12,"Bell Peppers",20,1,5,0.2,1.7
