user_id,user_name,connected_user_id,connected_user_name
1,SachinTendulkar,2,ViratKohli
1,SachinTendulkar,3,RickyPonting
1,SachinTendulkar,4,SteveSmith
1,SachinTendulkar,5,JoeRoot
2,ViratKohli,3,RickyPonting
2,ViratKohli,4,SteveSmith
2,ViratKohli,5,JoeRoot
2,ViratKohli,6,KaneWilliamson
3,RickyPonting,4,SteveSmith
3,RickyPonting,5,JoeRoot
3,RickyPonting,6,KaneWilliamson
3,RickyPonting,7,RohitSharma
4,SteveSmith,5,JoeRoot
4,SteveSmith,6,KaneWilliamson
4,SteveSmith,7,RohitSharma
4,SteveSmith,8,DavidWarner
5,JoeRoot,6,KaneWilliamson
5,JoeRoot,7,RohitSharma
5,JoeRoot,8,DavidWarner
5,JoeRoot,9,BabarAzam
6,KaneWilliamson,7,RohitSharma
6,KaneWilliamson,8,DavidWarner
6,KaneWilliamson,9,BabarAzam
6,KaneWilliamson,10,QuintonDeKock
7,RohitSharma,8,DavidWarner
7,RohitSharma,9,BabarAzam
7,RohitSharma,10,QuintonDeKock
7,RohitSharma,11,FafDuPlessis
8,DavidWarner,9,BabarAzam
8,DavidWarner,10,QuintonDeKock
8,DavidWarner,11,FafDuPlessis
8,DavidWarner,12,RossTaylor
9,BabarAzam,10,QuintonDeKock
9,BabarAzam,11,FafDuPlessis
9,BabarAzam,12,RossTaylor
9,BabarAzam,13,JosButtler
10,QuintonDeKock,11,FafDuPlessis
10,QuintonDeKock,12,RossTaylor
10,QuintonDeKock,13,JosButtler
10,QuintonDeKock,14,EoinMorgan
11,FafDuPlessis,12,RossTaylor
11,FafDuPlessis,13,JosButtler
11,FafDuPlessis,14,EoinMorgan
11,FafDuPlessis,15,JonnyBairstow
12,RossTaylor,13,JosButtler
12,RossTaylor,14,EoinMorgan
12,RossTaylor,15,JonnyBairstow
12,RossTaylor,16,ShikharDhawan
13,JosButtler,14,EoinMorgan
13,JosButtler,15,JonnyBairstow
