objective_id,user_id,start_date,end_date,target_calories,target_weight,target_exercise_duration
1,1,2022-06-01,2022-08-01,2000,69,45
2,2,2022-07-01,2022-09-01,2500,79,60
3,3,2022-06-01,2022-08-01,1800,74,30
4,4,2022-05-01,2022-07-01,400,72,40
5,5,2022-07-01,2022-09-01,400,68,50
6,6,2022-06-01,2022-08-01,400,75,55
7,7,2022-08-01,2022-10-01,400,60,35
8,8,2022-05-01,2022-07-01,400,70,45
9,9,2022-07-01,2022-09-01,2400,82,60
10,10,2022-06-01,2022-08-01,1800,64,30
11,11,2022-05-01,2022-07-01,2200,72,40
12,12,2022-07-01,2022-09-01,2100,68,50
13,13,2022-06-01,2022-08-01,2300,75,55
14,14,2022-08-01,2022-10-01,1900,60,35
15,15,2022-05-01,2022-07-01,2000,70,45
16,16,2022-07-01,2022-09-01,2400,82,60
17,17,2022-06-01,2022-08-01,1800,64,30
18,18,2022-05-01,2022-07-01,2200,72,40
19,19,2022-07-01,2022-09-01,2100,68,50
20,20,2022-06-01,2022-08-01,2300,75,55
21,21,2022-08-01,2022-10-01,1900,60,35
22,22,2022-05-01,2022-07-01,2000,70,45
23,23,2022-07-01,2022-09-01,2400,82,60
24,24,2022-06-01,2022-08-01,2300,65,60
25,25,2022-05-01,2022-07-01,2000,62,55
26,26,2022-05-01,2022-07-01,2200,72,40
27,27,2022-07-01,2022-09-01,2100,68,50
28,28,2022-06-01,2022-08-01,2300,75,55
29,29,2022-08-01,2022-10-01,1900,60,35
30,30,2022-05-01,2022-07-01,2000,70,45
31,31,2022-07-01,2022-09-01,2400,82,60
32,32,2022-06-01,2022-08-01,1800,64,30
33,33,2022-05-01,2022-07-01,2200,72,40
34,34,2022-07-01,2022-09-01,2100,68,50
35,35,2022-06-01,2022-08-01,2300,75,55
36,36,2022-08-01,2022-10-01,1900,60,35
37,37,2022-05-01,2022-07-01,2000,70,45
38,38,2022-07-01,2022-09-01,2400,82,60
39,39,2022-06-01,2022-08-01,1800,64,30
40,40,2022-05-01,2022-07-01,2200,72,40
41,41,2022-07-01,2022-09-01,2100,68,50
42,42,2022-06-01,2022-08-01,2300,75,55
43,43,2022-08-01,2022-10-01,1900,60,35
44,44,2022-05-01,2022-07-01,2000,70,45
45,45,2022-07-01,2022-09-01,2400,82,60
46,46,2022-06-01,2022-08-01,1800,64,30
47,47,2022-05-01,2022-07-01,2000,72,40
48,1,2022-08-02,2022-10-01,2200,69,50
49,2,2022-09-02,2022-11-01,2400,79,55
50,3,2022-08-02,2022-10-01,1900,74,40
51,4,2022-07-02,2022-09-01,400,70,45
52,5,2022-09-02,2022-11-01,400,65,35
53,6,2022-08-02,2022-10-01,400,72,50
54,7,2022-10-02,2022-12-01,400,58,30
55,8,2022-07-02,2022-09-01,400,67,40
56,9,2022-09-02,2022-11-01,2300,80,55
57,10,2022-08-02,2022-10-01,1700,62,25
58,11,2022-07-02,2022-09-01,2100,70,45
59,12,2022-09-02,2022-11-01,2000,65,35
60,13,2022-08-02,2022-10-01,2200,72,50
61,14,2022-10-02,2022-12-01,1800,58,30
62,15,2022-07-02,2022-09-01,1900,67,40
63,16,2022-09-02,2022-11-01,2300,80,55
64,17,2022-08-02,2022-10-01,1700,62,25
65,18,2022-07-02,2022-09-01,2100,70,45
66,19,2022-09-02,2022-11-01,2000,65,35
67,20,2022-08-02,2022-10-01,2200,72,50
68,21,2022-10-02,2022-12-01,1800,58,30
69,22,2022-07-02,2022-09-01,1900,67,40
70,23,2022-09-02,2022-11-01,2300,80,55
71,24,2022-08-02,2022-10-01,2300,64,55
72,25,2022-07-02,2022-09-01,2100,61,40
73,26,2022-07-02,2022-09-01,2300,73,45
74,27,2022-09-02,2022-11-01,2200,69,55
75,28,2022-08-02,2022-10-01,2400,76,60
76,29,2022-10-02,2022-12-01,2000,59,30
77,30,2022-07-02,2022-09-01,2100,71,50
78,31,2022-09-02,2022-11-01,2500,83,65
79,32,2022-08-02,2022-10-01,1900,63,25
80,33,2022-07-02,2022-09-01,2300,73,45
81,34,2022-09-02,2022-11-01,2200,69,55
82,35,2022-08-02,2022-10-01,2400,76,60
83,36,2022-10-02,2022-12-01,2000,59,30
84,37,2022-07-02,2022-09-01,2100,71,50
85,38,2022-09-02,2022-11-01,2500,83,65
86,39,2022-08-02,2022-10-01,1900,63,25
87,40,2022-07-02,2022-09-01,2300,73,45
88,41,2022-09-02,2022-11-01,2200,69,55
89,42,2022-08-02,2022-10-01,2400,76,60
90,43,2022-10-02,2022-12-01,2000,59,30
91,44,2022-07-02,2022-09-01,2100,71,50
92,45,2022-09-02,2022-11-01,2500,83,65
93,46,2022-08-02,2022-10-01,1900,63,25
94,47,2022-07-02,2022-09-01,2300,73,45
95,1,2022-04-01,2022-04-30,2000,70,30
96,2,2022-04-01,2022-04-30,1500,50,60
97,3,2022-04-01,2022-04-30,2500,90,45
98,4,2022-04-01,2022-04-30,400,60,30
99,5,2022-04-01,2022-04-30,400,95,60
100,6,2022-04-01,2022-04-30,400,70,45
101,7,2022-04-01,2022-04-30,400,100,30
102,8,2022-04-01,2022-04-30,400,45,60
103,9,2022-04-01,2022-04-30,2200,80,45
104,10,2022-04-01,2022-04-30,1800,55,30
105,11,2022-04-01,2022-04-30,2000,70,45
106,12,2022-04-01,2022-04-30,1900,65,60
107,13,2022-04-01,2022-04-30,2500,85,30
108,14,2022-04-01,2022-04-30,1500,50,60
109,15,2022-04-01,2022-04-30,2000,75,45
110,16,2022-04-01,2022-04-30,1800,60,30
111,17,2022-04-01,2022-04-30,2200,90,45
112,18,2022-04-01,2022-04-30,1900,68,60
113,19,2022-04-01,2022-04-30,2500,95,30
