user_id,user_name,record_date,total_calories,total_protein,total_carbs,total_fat,total_fiber
1,SachinTendulkar,2022-05-01,215,35,10,4.099999904632568,2.4000000953674316
2,ViratKohli,2022-05-01,422,27,45,13.799999952316284,3.5
3,RickyPonting,2022-05-01,311,9.100000023841858,62,3.8999999165534973,7.799999713897705
4,SteveSmith,2022-05-01,8831,1394,323.10000002384186,218.99999618530273,84.20000267028809
5,JoeRoot,2022-05-01,145,11.600000023841858,23.90000009536743,0.5000000074505806,3
6,KaneWilliamson,2022-05-01,91,5.300000190734863,15.599999904632568,1.7999999821186066,3.9000000953674316
7,RohitSharma,2022-05-01,150,11.300000011920929,17.40000009536743,4.5000001937150955,2.4000000953674316
8,DavidWarner,2022-05-01,229,5.599999904632568,21,16.100000023841858,8.899999976158142
9,BabarAzam,2022-05-01,1242,40,34,115,12.699999809265137
10,QuintonDeKock,2022-05-01,72,1.300000011920929,14.899999976158142,1.4000000357627869,2.600000098347664
11,FafDuPlessis,2022-05-02,215,35,10,4.099999904632568,2.4000000953674316
12,RossTaylor,2022-05-02,422,27,45,13.799999952316284,3.5
13,JosButtler,2022-05-02,311,9.100000023841858,62,3.8999999165534973,7.799999713897705
14,EoinMorgan,2022-05-02,731,34,23.100000023841858,60,12.199999809265137
15,JonnyBairstow,2022-05-02,361,16.600000023841858,68.90000009536743,2.2999999597668648,6.5
16,ShikharDhawan,2022-05-02,307,10.300000190734863,60.59999990463257,3.5999999344348907,7.400000095367432
17,AaronFinch,2022-05-02,366,16.30000001192093,62.40000009536743,6.30000014603138,5.900000095367432
18,MartinGuptill,2022-05-02,445,10.599999904632568,66,17.899999976158142,12.399999976158142
19,ShimronHetmyer,2022-05-02,1458,45,79,116.79999995231628,16.199999809265137
20,JasonRoy,2022-05-02,288,6.300000011920929,59.89999997615814,3.199999988079071,6.100000098347664
15,JonnyBairstow,2022-05-01,480,74,30,8.699999809265137,7.200000286102295
15,JonnyBairstow,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
16,ShikharDhawan,2022-05-01,265,39,20,4.599999904632568,4.800000190734863
16,ShikharDhawan,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
17,AaronFinch,2022-05-01,480,74,30,8.699999809265137,7.200000286102295
17,AaronFinch,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
18,MartinGuptill,2022-05-01,265,39,20,4.599999904632568,4.800000190734863
18,MartinGuptill,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
19,ShimronHetmyer,2022-05-01,480,74,30,8.699999809265137,7.200000286102295
19,ShimronHetmyer,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
20,JasonRoy,2022-05-01,265,39,20,4.599999904632568,4.800000190734863
20,JasonRoy,2022-05-15,1078,68,117,34.799999713897705,15.59999942779541
1,SachinTendulkar,2022-04-16,1866,261.10000002384186,108,41.29999929666519,15.700000286102295
2,ViratKohli,2022-04-16,874.5,71.10000002384186,36.85000014305115,49.20000001043081,9.099999904632568
3,RickyPonting,2022-04-16,250.5,19.44999995827675,32,6.450000233948231,6.250000059604645
4,SteveSmith,2022-04-16,1062.5,47.5,64.44999998807907,76.25000002980232,19.40000019222498
5,JoeRoot,2022-04-16,292.5,12.150000154972076,65.45000004768372,1.1500000059604645,7.149999976158142
6,KaneWilliamson,2022-04-16,99.5,4.750000059604645,22.40000009536743,0.9499999918043613,10.349999904632568
