user_id,user_name,record_date,total_calories_expended,total_exercise_duration
1,SachinTendulkar,2022-05-01,90,30
1,SachinTendulkar,2022-05-02,450,45
2,ViratKohli,2022-05-01,360,60
2,ViratKohli,2022-05-02,180,30
3,RickyPonting,2022-05-01,90,30
3,RickyPonting,2022-05-02,135,45
4,SteveSmith,2022-05-01,120,60
4,SteveSmith,2022-05-02,120,30
5,JoeRoot,2022-05-01,300,30
5,JoeRoot,2022-05-02,360,45
6,KaneWilliamson,2022-05-01,420,60
6,KaneWilliamson,2022-05-02,135,30
7,RohitSharma,2022-05-01,150,30
7,RohitSharma,2022-05-02,315,45
8,DavidWarner,2022-05-01,720,60
8,DavidWarner,2022-05-02,300,30
9,BabarAzam,2022-05-01,330,30
9,BabarAzam,2022-05-02,405,45
10,QuintonDeKock,2022-05-01,420,60
10,QuintonDeKock,2022-05-02,180,30
11,FafDuPlessis,2022-05-01,90,30
11,FafDuPlessis,2022-05-02,450,45
12,RossTaylor,2022-05-01,360,60
12,RossTaylor,2022-05-02,180,30
13,JosButtler,2022-05-01,90,30
13,JosButtler,2022-05-02,135,45
14,EoinMorgan,2022-05-01,120,60
14,EoinMorgan,2022-05-02,120,30
15,JonnyBairstow,2022-05-01,300,30
15,JonnyBairstow,2022-05-02,360,45
16,ShikharDhawan,2022-05-01,420,60
16,ShikharDhawan,2022-05-02,135,30
17,AaronFinch,2022-05-01,150,30
17,AaronFinch,2022-05-02,315,45
18,MartinGuptill,2022-05-01,720,60
18,MartinGuptill,2022-05-02,300,30
19,ShimronHetmyer,2022-05-01,330,30
19,ShimronHetmyer,2022-05-02,405,45
20,JasonRoy,2022-05-01,420,60
20,JasonRoy,2022-05-02,180,30
21,ChrisGayle,2022-05-01,105,35
21,ChrisGayle,2022-05-02,500,50
22,BrendonMcCullum,2022-05-01,390,65
22,BrendonMcCullum,2022-05-02,210,35
23,ABDeVilliers,2022-05-01,105,35
23,ABDeVilliers,2022-05-02,150,50
24,EllysePerry,2022-05-01,130,65
24,EllysePerry,2022-05-02,140,35
25,MegLanning,2022-05-01,350,35
25,MegLanning,2022-05-02,400,50
26,MithaliRaj,2022-05-01,455,65
26,MithaliRaj,2022-05-02,157.5,35
27,SmritiMandhana,2022-05-01,175,35
27,SmritiMandhana,2022-05-02,350,50
28,SuzieBates,2022-05-01,780,65
28,SuzieBates,2022-05-02,350,35
29,HeatherKnight,2022-05-01,385,35
29,HeatherKnight,2022-05-02,450,50
30,StafanieTaylor,2022-05-01,455,65
30,StafanieTaylor,2022-05-02,210,35
